Endpoint,Method,Description,Headers,QueryParams,Body,Auth,ExpectedResponse
api/data/fact-leads-qualified-count/{id},PATCH,Update fact leads qualified count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact leads qualified count. Example: ad,value integer optional Example: 11,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-leads-qualified-count/{id},DELETE,Delete fact leads qualified count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact leads qualified count. Example: id,,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-meetings-count,POST,Create fact meetings count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer Example: 13; user_id integer optional Example: 5; period string Example: week Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 4,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-meetings-count/{id},PATCH,Update fact meetings count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact meetings count. Example: ab,value integer optional Example: 18,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-meetings-count/{id},DELETE,Delete fact meetings count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact meetings count. Example: necessitatibus,,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-invoices-count,POST,Create fact invoices count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer Example: 8; user_id integer optional Example: 1; period string Example: week Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 10,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-invoices-count/{id},PATCH,Update fact invoices count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact invoices count. Example: molestiae,value integer optional Example: 19,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-invoices-count/{id},DELETE,Delete fact invoices count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact invoices count. Example: maxime,,Bearer Token,"{""data"": {""id"": null, ""company_id"": null, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": null, ""date"": null, ""value"": null, ""created_at"": null, ""updated_at"": null}}"
api/data/fact-payments-count,POST,Create fact payments count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 8; user_id integer optional Example: 11; period string Example: week Must be one of: day week; date string. optional Example: 2025-01-01; value integer Example: 17,Bearer Token,"{""data"": {""id"": 619, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 8, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-payments-count/{id},PATCH,Update fact payments count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact payments count. Example: labore,value integer optional Example: 11,Bearer Token,"{""data"": {""id"": 619, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 8, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/data/fact-payments-count/{id},DELETE,Delete fact payments count,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the fact payments count. Example: sit,,Bearer Token,"{""data"": {""id"": 619, ""company_id"": 1, ""department_id"": null, ""user_id"": null, ""creator_id"": null, ""period"": ""week"", ""date"": ""2025-09-27T21:00:00.000000Z"", ""value"": 8, ""created_at"": ""2025-10-13T15:26:07.000000Z"", ""updated_at"": ""2025-10-13T15:26:07.000000Z""}}"
api/departments,GET,Get departments,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"name string optional Поле ""value"" должно быть не короче 3 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: q; is_hidden boolean optional Example: false; without_pagination boolean optional Example: true",,Bearer Token,"{""data"": {""id"": 1, ""name"": ""111"", ""is_hidden"": false, ""status"": ""active"", ""created_at"": null, ""updated_at"": ""2025-10-14T18:32:25.000000Z"", ""rop"": null}}"
api/departments/{id},GET,Get department,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: fuga,,Bearer Token,"{""data"": {""id"": 1, ""name"": ""111"", ""is_hidden"": false, ""status"": ""active"", ""created_at"": null, ""updated_at"": ""2025-10-14T18:32:25.000000Z"", ""rop"": null, ""mops"": []}}"
api/departments,POST,Create department,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"name string Поле ""value"" должно быть не длиннее 255 символов. Example: rzdjsnqqsommozgrjqiqu; rop_id integer optional Example: 2; mops_ids integer[]",Bearer Token,"{""data"": {""id"": 1, ""name"": ""111"", ""is_hidden"": false, ""status"": ""active"", ""created_at"": null, ""updated_at"": ""2025-10-14T18:32:25.000000Z"", ""rop"": null, ""mops"": []}}"
api/departments/{id},PATCH,Update department,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: est,"name string optional Поле ""value"" должно быть не длиннее 255 символов. Example: mbwhha; is_hidden boolean optional Example: false; status string Example: block Must be one of: active block; rop_id integer optional Example: 14; mops_ids integer[]",Bearer Token,"{""data"": {""id"": 1, ""name"": ""111"", ""is_hidden"": false, ""status"": ""active"", ""created_at"": null, ""updated_at"": ""2025-10-14T18:32:25.000000Z"", ""rop"": null, ""mops"": []}}"
api/departments/{id},DELETE,Delete department,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id string The ID of the department. Example: aliquam,,Bearer Token,"{""data"": {""id"": 1, ""name"": ""111"", ""is_hidden"": false, ""status"": ""active"", ""created_at"": null, ""updated_at"": ""2025-10-14T18:32:25.000000Z"", ""rop"": null, ""mops"": []}}"
api/feedback,POST,Send feedback,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: multipart/form-data; Accept: application/json,,"contact string Поле ""value"" должно быть не длиннее 255 символов. Example: nlxgagpghcjhjw; message string Поле ""value"" должно быть не короче 1 символов. Поле ""value"" должно быть не длиннее 5000 символов. Example: rjzkzfsggq; files file[] optional Must be a file. Поле ""value"" должно быть не больше 5120 Килобайт.",Bearer Token,
api/file/{disk}/{filepath?},GET,Get file,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,disk string Example: harum; filepath string optional Example: 0hM,,Bearer Token,
api/invoices,GET,Get invoices,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""id"": null, ""amount"": null, ""file_url"": null, ""is_accrued"": null, ""created_at"": null, ""updated_at"": null}}"
api/invoices,POST,Create invoice,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,amount integer Example: 3,Bearer Token,"{""data"": {""id"": null, ""amount"": null, ""file_url"": null, ""is_accrued"": null, ""created_at"": null, ""updated_at"": null}}"
api/logs,GET,Get logs,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,date_from date Example: 2025-01-01; date_to date Example: 2025-01-01; types string[] see api/reference/log-types; departments_ids integer[] optional; users_ids integer[] optional,,Bearer Token,"{""data"": {""id"": 1, ""department"": null, ""type"": ""niche-create"", ""type_name"": ""Ниша, создание"", ""description"": ""Создание ниши #1 (niche)"", ""initiator_name"": null, ""changes"": {""old"": {""Название"": null}, ""new"": {""Название"": ""niche""}}, ""created_at"": ""2025-09-16T07:35:01.000000Z""}}"
api/telegram-hook,POST,Telegram hook,Content-Type: application/json; Accept: application/json,,,No,
api/notifications,GET,"Get notifications. Если настройка существует, то отдается объект {""chat_id"", ""time"", ""active""}. Если нет,то null.",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""personal_setting"": {""chat_id"": ""123123"", ""time"": ""12:00"", ""active"": true}, ""departments"": [{""department"": {""id"": 1, ""name"": ""отдел""}, ""setting"": {""chat_id"": 123123, ""time"": ""12:00"", ""active"": true}}]}}"
api/notifications,PATCH,"Update notifications. Если настройка персональная (админ или роп), то department_id не должен передаваться. Если по отделу, то передается.",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 8; time string optional Must be a valid date in the format H:i. Example: 00:43; chat_id number optional Example: 273.19733826,Bearer Token,"{""data"": {""chat_id"": null, ""time"": """", ""active"": null}}"
api/notifications,DELETE,Delete notifications,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,department_id integer optional Example: 5,Bearer Token,{}
api/reference,GET,Get reference,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""regions"": [{""id"": 22, ""name"": ""Алтайский край""}, {""id"": ""..."", ""name"": ""...""}], ""niches"": [{""id"": 1, ""name"": ""niche1""}]}}"
api/reference/videos,GET,Get reference videos,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""video_intro"": {""path"": ""video_intro.mpg"", ""ui_name"": ""Название""}, ""..."": {...}}}"
api/reference/log-types,GET,Get reference log types,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""niche-create"": ""Ниша, создание"", ""niche-update"": ""Ниша, редактирование"", ""niche-delete"": ""Ниша, удаление""}}"
api/reference/states-finish-content,GET,Get reference states finish content,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""name"": ""Заголовок блока"", ""list"": {""1"": ""пункт 1"", ""2"": ""пункт 2""}}}"
api/consultation-request,POST,Send consultation request,Content-Type: application/json; Accept: application/json,,"name string Поле ""value"" должно быть не длиннее 255 символов. Example: mncuxybkmq; phone string Длина цифрового поля ""value"" должна быть 11. Example: 91520112745; email string Поле ""value"" должно быть действительным электронным адресом. Example: flynch@example.com; question string optional Поле ""value"" должно быть не длиннее 255 символов. Example: ixvu",No,"{""notification"": true, ""message"": ""Уведомление отправлено."", ""type"": ""primary""}"
api/partner-request,POST,Send partner request,Content-Type: application/json; Accept: application/json,,"name string Поле ""value"" должно быть не длиннее 255 символов. Example: inlogpahcgvchwrgnndv; phone string Длина цифрового поля ""value"" должна быть 11. Example: 54472124351; email string Поле ""value"" должно быть действительным электронным адресом. Example: qrowe@example.com",No,"{""notification"": true, ""message"": ""Уведомление отправлено."", ""type"": ""primary""}"
api/states,GET,"Get states. Состояние компании, полный расклад с вложенными сущностями",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""base_payments_amount"": 1900000, ""indicator_long"": 84, ""indicator_short"": 4, ""calced_at"": ""2025-10-13T15:26:07.000000Z"", ""state"": {""id"": 5, ""type"": ""breakthrough"", ""name"": ""breakthrough"", ""description"": ""breakthrough"", ""target"": ""breakthrough"", ""principles"": [], ""todos"": [], ""limit_low"": 51, ""limit_high"": null, ""categories"": []}}, ""recalc_button_enabled"": true}"
api/states/short,GET,"Get states short. Состояние компании, краткая информация для вывода на дашборде",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""base_payments_amount"": 1900000, ""indicator_long"": 84, ""indicator_short"": 4, ""calced_at"": ""2025-10-13T15:26:07.000000Z"", ""state"": {""id"": 5, ""type"": ""breakthrough"", ""name"": ""breakthrough"", ""description"": ""breakthrough"", ""target"": ""breakthrough"", ""principles"": [], ""todos"": [], ""limit_low"": 51, ""limit_high"": null}}}"
api/states/fact-payments-average,GET,Get states fact payments average,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""fact_payments_3_months_average"": 123, ""fact_payments_12_months_average"": 234}}"
api/states/update,PATCH,Update states,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"base_payments_amount integer optional Поле ""value"" должно быть не менее 1. Поле ""value"" должно быть не больше 1000000000. Example: 19; one_month_ago_amount integer optional Поле ""value"" должно быть не менее 1. Поле ""value"" должно быть не больше 1000000000. Example: 25",Bearer Token,"{""data"": {""base_payments_amount"": 1900000, ""indicator_long"": 84, ""indicator_short"": 4, ""calced_at"": ""2025-10-13T15:26:07.000000Z"", ""state"": {""id"": 5, ""type"": ""breakthrough"", ""name"": ""breakthrough"", ""description"": ""breakthrough"", ""target"": ""breakthrough"", ""principles"": [], ""todos"": [], ""limit_low"": 51, ""limit_high"": null}}}"
api/states/recalc,POST,Recalc states,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""base_payments_amount"": 1900000, ""indicator_long"": 84, ""indicator_short"": 4, ""calced_at"": ""2025-10-13T15:26:07.000000Z"", ""state"": {""id"": 5, ""type"": ""breakthrough"", ""name"": ""breakthrough"", ""description"": ""breakthrough"", ""target"": ""breakthrough"", ""principles"": [], ""todos"": [], ""limit_low"": 51, ""limit_high"": null}}}"
api/states/steps,PATCH,Update states steps,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,steps_ids integer[] optional,Bearer Token,"{""data"": {""base_payments_amount"": 1900000, ""indicator_long"": 84, ""indicator_short"": 4, ""calced_at"": ""2025-10-13T15:26:07.000000Z"", ""state"": {""id"": 5, ""type"": ""breakthrough"", ""name"": ""breakthrough"", ""description"": ""breakthrough"", ""target"": ""breakthrough"", ""principles"": [], ""todos"": [], ""limit_low"": 51, ""limit_high"": null, ""categories"": []}}}"
api/unit-economic,GET,"Get unit economic. Таблица юнит-экономики, вычисленная по сохраненным параметрам",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""source"": {""UA"": 155, ""C1"": 21, ""B"": 32.55, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 4663700, ""GoalCM"": 7000000, ""isGoalReached"": false}, ""UA_limit"": {""UA"": 232.64789759204072, ""C1"": 21, ""B"": 48.85605849432855, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1500954.178013166, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""C1_limit"": {""UA"": 155, ""C1"": 29.662588060808314, ""B"": 45.977011494252885, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""AvP_limit"": {""UA"": 155, ""C1"": 21, ""B"": 32.55, ""AvP"": 163850.4864311316, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""UA_limit_show"": true, ""C1_limit_show"": false, ""AvP_limit_show"": false}}"
api/unit-economic/calc,GET,"Get unit economic calc. Таблица юнит-экономики, вычисленная по введеным вручную параметрам",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,UA integer Example: 1; C1 number Example: 2368.37617; AvP number Example: 2335.597; APC number Example: 4006443.54; AC number Example: 12400216.95; GoalCM number Example: 740061.86379751,Bearer Token,"{""data"": {""source"": {""UA"": 155, ""C1"": 21, ""B"": 32.55, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 4663700, ""GoalCM"": 7000000, ""isGoalReached"": false}, ""UA_limit"": {""UA"": 232.64789759204072, ""C1"": 21, ""B"": 48.85605849432855, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1500954.178013166, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""C1_limit"": {""UA"": 155, ""C1"": 29.662588060808314, ""B"": 45.977011494252885, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""AvP_limit"": {""UA"": 155, ""C1"": 21, ""B"": 32.55, ""AvP"": 163850.4864311316, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""UA_limit_show"": true, ""C1_limit_show"": false, ""AvP_limit_show"": false}}"
api/unit-economic/auto-params,GET,"Get unit economic auto params. Три параметра (UA, C1, AvP), предлагаемые для расчета. Являются соответствующими показателями компании за последний полный или предпоследний месяцы. Если null","0, то данных нет, предлагать пользователю ввести параметр вручную",Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token
api/unit-economic/update,POST,Update unit economic. Сохранение текущих параметров,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,UA integer optional Example: 8; C1 number optional Example: 31909161.574839; AvP number optional Example: 1975.7059; APC number optional Example: 56.153634632; AC number optional Example: 650104.9; GoalCM number optional Example: 31.24809; UA_limit_show boolean optional Example: false; C1_limit_show boolean optional Example: true; AvP_limit_show boolean optional Example: false,Bearer Token,"{""data"": {""source"": {""UA"": 155, ""C1"": 21, ""B"": 32.55, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 4663700, ""GoalCM"": 7000000, ""isGoalReached"": false}, ""UA_limit"": {""UA"": 232.64789759204072, ""C1"": 21, ""B"": 48.85605849432855, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1500954.178013166, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""C1_limit"": {""UA"": 155, ""C1"": 29.662588060808314, ""B"": 45.977011494252885, ""AvP"": 116000, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""AvP_limit"": {""UA"": 155, ""C1"": 21, ""B"": 32.55, ""AvP"": 163850.4864311316, ""APC"": 1.5, ""AC"": 1000000, ""CPA"": 6451.612903225807, ""CM"": 7000000, ""GoalCM"": 7000000, ""isGoalReached"": true}, ""UA_limit_show"": true, ""C1_limit_show"": false, ""AvP_limit_show"": false}}"
api/users,GET,Get users,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,"name string optional Поле ""value"" должно быть не короче 3 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: qiuvumwtgk; departments_ids integer[] optional; roles string[]; is_hidden boolean optional Example: false; statuses string[] optional Must be one of: active block; without_departments boolean optional Example: false; without_pagination boolean optional Example: true",,Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/me,GET,Get me,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/me,POST,Update me,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: multipart/form-data; Accept: application/json,,"avatar file optional Must be a file. Поле ""value"" должно быть изображением. Поле ""value"" должно быть не больше 5120 Килобайт. Example: /tmp/phpv4ctpq86sp81dBbpbOG; surname string optional Поле ""value"" должно быть не короче 2 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: dafymuyrmdntbfrgek; name string optional Поле ""value"" должно быть не короче 2 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: jszjcnxfjl; patronymic string optional Поле ""value"" должно быть не длиннее 255 символов. Example: fhtgfdqosvou; email string optional Поле ""value"" должно быть действительным электронным адресом. Поле ""value"" должно быть не длиннее 255 символов. Example: donavon.larkin@example.org; phone string optional Длина цифрового поля ""value"" должна быть 11. Must match the regex /^7[0-9]{10}$/. Example: 77037420972",Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/me/email,PATCH,Update me email,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"email string Поле ""value"" должно быть действительным электронным адресом. Example: gwyman@example.com; code string Длина цифрового поля ""value"" должна быть 6. Example: 641603",Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/me/phone,PATCH,Update me phone,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"phone string Длина цифрового поля ""value"" должна быть 11. Must match the regex /^7/. Example: 7; code string Длина цифрового поля ""value"" должна быть 6. Example: 729935",Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/{id},GET,Get user,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,id integer The ID of the user. Example: 7,,Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users,POST,Create user,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: multipart/form-data; Accept: application/json,,"departments_ids object; role string Example: rop Must be one of: rop mop; avatar file optional Must be a file. Поле ""value"" должно быть изображением. Поле ""value"" должно быть не больше 5120 Килобайт. Example: /tmp/php113nnkcacs5qckiDNiG; surname string Поле ""value"" должно быть не короче 2 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: gkahvo; name string Поле ""value"" должно быть не короче 2 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: hhcpgbp; patronymic string optional Поле ""value"" должно быть не длиннее 255 символов. Example: ylelpmnlgx; email string Поле ""value"" должно быть действительным электронным адресом. Поле ""value"" должно быть не длиннее 255 символов. Example: alexie76@example.org; phone string optional Длина цифрового поля ""value"" должна быть 11. Must match the regex /^7[0-9]{10}$/. Example: 71844688320; is_fake boolean optional Example: false",Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/{id},POST,Update user,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: multipart/form-data; Accept: application/json,id integer The ID of the user. Example: 7,"departments_ids integer[] optional The id of an existing record in the departments table.; role string Example: mop Must be one of: rop mop; avatar file optional Must be a file. Поле ""value"" должно быть изображением. Поле ""value"" должно быть не больше 5120 Килобайт. Example: /tmp/phps44lk12hk2vofiaKImG; surname string optional Поле ""value"" должно быть не короче 2 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: euu; name string optional Поле ""value"" должно быть не короче 2 символов. Поле ""value"" должно быть не длиннее 255 символов. Example: qvhebmwswwgguvvgvau; patronymic string optional Поле ""value"" должно быть не длиннее 255 символов. Example: oo; email string optional Поле ""value"" должно быть действительным электронным адресом. Поле ""value"" должно быть не длиннее 255 символов. Example: lacy.zemlak@example.net; phone string optional Длина цифрового поля ""value"" должна быть 11. Must match the regex /^7[0-9]{10}$/. Example: 72789911708; is_hidden boolean optional Example: true; status string Example: active Must be one of: active block",Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/password,PATCH,Update password,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,"password_old string optional Поле ""value"" должно быть не короче 0 символов. Поле ""value"" должно быть не длиннее 32 символов. Example: pp; password string Поле ""value"" должно быть не короче 8 символов. Поле ""value"" должно быть не длиннее 32 символов. Example: o?o:ij7UxG>; password_confirm string The value and password must match. Example: et",Bearer Token,"{""data"": {""id"": 7, ""role"": ""master"", ""avatar_url"": null, ""surname"": ""master"", ""name"": ""master"", ""patronymic"": ""master"", ""email"": ""master@test.com"", ""email_verified_at"": null, ""phone"": null, ""phone_verified_at"": null, ""status"": ""active"", ""is_hidden"": false, ""created_at"": null, ""updated_at"": null, ""departments"": []}}"
api/users/fake-email,GET,Get fake email,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,,Bearer Token,"{""message"": ""Not Found""}"
api/webpush/add,POST,Add webpush,Authorization: Bearer {YOUR_AUTH_KEY}; Content-Type: application/json; Accept: application/json,,endpoint string Example: consectetur; expired_at string optional,Bearer Token,
